557	0.001000
573	0.002000
651	0.003000
666	0.004000
682	0.005000
698	0.006000
714	0.007000
730	0.008000
746	0.009000
762	0.010000
778	0.011000
794	0.012000
810	0.013000
826	0.014000
842	0.015000
858	0.016000
874	0.017000
890	0.018000
906	0.019000
922	0.020000
938	0.021000
954	0.022000
970	0.023000
986	0.024000
1002	0.025000
1018	0.026000
1034	0.027000
1050	0.028000
1066	0.029000
1082	0.030000
1098	0.031000
1114	0.032000
1130	0.033000
1146	0.034000
1162	0.035000
1178	0.036000
1194	0.037000
1210	0.038000
1226	0.039000
1242	0.040000
1258	0.041000
1274	0.042000
1290	0.043000
1306	0.044000
1322	0.045000
1338	0.046000
1354	0.047000
1370	0.048000
1386	0.049000
1402	0.050000
1418	0.051000
1434	0.052000
1450	0.053000
1466	0.054000
1482	0.055000
1498	0.056000
1514	0.057000
1530	0.058000
1546	0.059000
1562	0.060000
1578	0.061000
1594	0.062000
1610	0.063000
1626	0.064000
1642	0.065000
1658	0.066000
1674	0.067000
1690	0.068000
1706	0.069000
1722	0.070000
1738	0.071000
1754	0.072000
1770	0.073000
1786	0.074000
1802	0.075000
1818	0.076000
1834	0.077000
1850	0.078000
1866	0.079000
1882	0.080000
1898	0.081000
1914	0.082000
1930	0.083000
1946	0.084000
1962	0.085000
1978	0.086000
1994	0.087000
2010	0.088000
2026	0.089000
2042	0.090000
2058	0.091000
2074	0.092000
2090	0.093000
2106	0.094000
2122	0.095000
2138	0.096000
2154	0.097000
2170	0.098000
2186	0.099000
2202	0.100000
2218	0.101000
2234	0.102000
2250	0.103000
2266	0.104000
2282	0.105000
2298	0.106000
2314	0.107000
2330	0.108000
2346	0.109000
2362	0.110000
2378	0.111000
2394	0.112000
2410	0.113000
2426	0.114000
2442	0.115000
2458	0.116000
2474	0.117000
2490	0.118000
2506	0.119000
2522	0.120000
2538	0.121000
2554	0.122000
2570	0.123000
2586	0.124000
2602	0.125000
2618	0.126000
2634	0.127000
2650	0.128000
2666	0.129000
2682	0.130000
2698	0.131000
2714	0.132000
2730	0.133000
2746	0.134000
2762	0.135000
2778	0.136000
2794	0.137000
2810	0.138000
2826	0.139000
2842	0.140000
2858	0.141000
2874	0.142000
2890	0.143000
2906	0.144000
2922	0.145000
2938	0.146000
2954	0.147000
2970	0.148000
2986	0.149000
3002	0.150000
3018	0.151000
3034	0.152000
3050	0.153000
3066	0.154000
3082	0.155000
3098	0.156000
3114	0.157000
3130	0.158000
3146	0.159000
3162	0.160000
3178	0.161000
3194	0.162000
3210	0.163000
3226	0.164000
3242	0.165000
3258	0.166000
3274	0.167000
3290	0.168000
3306	0.169000
3322	0.170000
3338	0.171000
3354	0.172000
3370	0.173000
3386	0.174000
3402	0.175000
3418	0.176000
3434	0.177000
3450	0.178000
3466	0.179000
3482	0.180000
3498	0.181000
3514	0.182000
3530	0.183000
3546	0.184000
3562	0.185000
3578	0.186000
3594	0.187000
3610	0.188000
3626	0.189000
3642	0.190000
3658	0.191000
3674	0.192000
3690	0.193000
3706	0.194000
3722	0.195000
3738	0.196000
3754	0.197000
3770	0.198000
3786	0.199000
3802	0.200000
3818	0.201000
3834	0.202000
3850	0.203000
3866	0.204000
3882	0.205000
3898	0.206000
3914	0.207000
3930	0.208000
3946	0.209000
3962	0.210000
3978	0.211000
3994	0.212000
4010	0.213000
4026	0.214000
4042	0.215000
4058	0.216000
4074	0.217000
4090	0.218000
4106	0.219000
4122	0.220000
4138	0.221000
4154	0.222000
4170	0.223000
4186	0.224000
4202	0.225000
4218	0.226000
4234	0.227000
4250	0.228000
4266	0.229000
4282	0.230000
4298	0.231000
4314	0.232000
4330	0.233000
4346	0.234000
4362	0.235000
4378	0.236000
4394	0.237000
4410	0.238000
4426	0.239000
4442	0.240000
4458	0.241000
4474	0.242000
4490	0.243000
4506	0.244000
4522	0.245000
4538	0.246000
4554	0.247000
4570	0.248000
4586	0.249000
4602	0.250000
4618	0.251000
4634	0.252000
4650	0.253000
4666	0.254000
4682	0.255000
4698	0.256000
4714	0.257000
4730	0.258000
4746	0.259000
4762	0.260000
4778	0.261000
4794	0.262000
4810	0.263000
4826	0.264000
4842	0.265000
4858	0.266000
4874	0.267000
4890	0.268000
4906	0.269000
4922	0.270000
4938	0.271000
4954	0.272000
4970	0.273000
4986	0.274000
5002	0.275000
5018	0.276000
5034	0.277000
5050	0.278000
5066	0.279000
5082	0.280000
5098	0.281000
5114	0.282000
5130	0.283000
5146	0.284000
5162	0.285000
5178	0.286000
5194	0.287000
5210	0.288000
5226	0.289000
5242	0.290000
5258	0.291000
5274	0.292000
5290	0.293000
5306	0.294000
5322	0.295000
5338	0.296000
5354	0.297000
5370	0.298000
5386	0.299000
5402	0.300000
5418	0.301000
5434	0.302000
5450	0.303000
5466	0.304000
5482	0.305000
5498	0.306000
5514	0.307000
5530	0.308000
5546	0.309000
5562	0.310000
5578	0.311000
5594	0.312000
5610	0.313000
5626	0.314000
5642	0.314999
5658	0.315999
5674	0.316999
5690	0.317999
5706	0.318999
5722	0.319999
5738	0.320999
5754	0.321999
5770	0.322999
5786	0.323999
5802	0.324999
5818	0.325999
5834	0.326999
5850	0.327999
5866	0.328999
5882	0.329999
5898	0.330999
5914	0.331999
5930	0.332999
5946	0.333999
5962	0.334999
5978	0.335999
5994	0.336999
6010	0.337999
6026	0.338999
6042	0.339999
6058	0.340999
6074	0.341999
6090	0.342999
6106	0.343999
6122	0.344999
6138	0.345999
6154	0.346999
6170	0.347999
6186	0.348999
6202	0.349999
6218	0.350999
6234	0.351999
6250	0.352999
